2026-08-02 22:23:35.100 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-02 22:23:35.102 | INFO     | wake_word:__init__:39 | WakeWordService created — threshold=0.35
2026-08-02 22:23:35.153 | INFO     | voice_intelligence:__init__:24 | VoiceIntelligenceService initialized. Profiles file: data\speaker_profiles.json
2026-08-02 22:23:35.158 | INFO     | voice_intelligence:__init__:24 | VoiceIntelligenceService initialized. Profiles file: data\speaker_profiles.json
2026-08-02 22:23:37.102 | INFO     | voice_intelligence:__init__:24 | VoiceIntelligenceService initialized. Profiles file: data\speaker_profiles.json
2026-08-02 22:23:37.103 | WARNING  | voice_intelligence:verify_speaker_biometrics:64 | Speaker verification failed: No valid enrolled reference embedding found for primary_user.
2026-08-02 22:23:49.102 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-02 22:23:49.103 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-02 22:23:49.104 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-02 22:23:49.293 | INFO     | world_model:__init__:53 | WorldModel initialized (Central Desktop State Aggregator Ready).
2026-08-02 22:23:51.796 | INFO     | proactive_engine:__init__:50 | ProactiveEngine initialized (Proactive 2.0 with 20-min Cooldown & Session Memory Active).
2026-08-02 22:24:30.044 | INFO     | logger:setup_logger:99 | Logger initialised — console=DEBUG, file=DEBUG
2026-08-02 22:24:30.045 | INFO     | wake_word:__init__:39 | WakeWordService created — threshold=0.35
2026-08-02 22:24:30.048 | INFO     | voice_intelligence:__init__:24 | VoiceIntelligenceService initialized. Profiles file: data\speaker_profiles.json
2026-08-02 22:24:30.049 | INFO     | voice_intelligence:__init__:24 | VoiceIntelligenceService initialized. Profiles file: data\speaker_profiles.json
2026-08-02 22:24:30.099 | INFO     | voice_intelligence:__init__:24 | VoiceIntelligenceService initialized. Profiles file: data\speaker_profiles.json
2026-08-02 22:24:30.099 | WARNING  | voice_intelligence:verify_speaker_biometrics:64 | Speaker verification failed: No valid enrolled reference embedding found for primary_user.
2026-08-02 22:24:30.745 | DEBUG    | spatial_engine:refresh_displays:85 | Discovered 1 monitor(s).
2026-08-02 22:24:30.745 | INFO     | uia_scene_graph:__init__:64 | UIASceneGraph initialized (Native Win32 UIA Parser Ready).
2026-08-02 22:24:30.746 | DEBUG    | uia_scene_graph:capture_scene:141 | Scene graph captured in 0.0ms (0 controls).
2026-08-02 22:24:30.848 | INFO     | world_model:__init__:53 | WorldModel initialized (Central Desktop State Aggregator Ready).
